customer_id,monetary,engagement_days,m_score,e_score,segment
1,53,14.0,2,3,Regular
2,64,14.0,2,3,Regular
3,73,7.0,2,3,Regular
4,90,7.0,3,3,High Value
5,49,365.0,2,1,At Risk
6,20,7.0,1,3,Regular
7,85,90.0,3,2,Regular
8,34,7.0,1,3,Regular
9,97,365.0,3,1,At Risk
10,31,90.0,1,2,Regular
11,34,14.0,1,3,Regular
12,68,14.0,2,3,Regular
13,72,14.0,2,3,Regular
14,51,7.0,2,3,Regular
15,53,7.0,2,3,Regular
16,81,30.0,3,2,Regular
17,36,14.0,1,3,Regular
18,38,90.0,1,2,Regular
19,48,7.0,2,3,Regular
20,90,14.0,3,3,High Value
21,51,90.0,2,2,Regular
22,62,90.0,2,2,Regular
23,37,365.0,1,1,At Risk
24,88,7.0,3,3,High Value
25,22,7.0,1,3,Regular
26,25,365.0,1,1,At Risk
27,20,365.0,1,1,At Risk
28,56,90.0,2,2,Regular
29,94,90.0,3,2,Regular
30,48,7.0,2,3,Regular
31,31,30.0,1,2,Regular
32,79,30.0,3,2,Regular
33,67,365.0,2,1,At Risk
34,38,90.0,1,2,Regular
35,91,90.0,3,2,Regular
36,33,14.0,1,3,Regular
37,69,14.0,2,3,Regular
38,45,7.0,1,3,Regular
39,37,90.0,1,2,Regular
40,60,30.0,2,2,Regular
41,76,90.0,3,2,Regular
42,39,365.0,1,1,At Risk
43,100,365.0,3,1,At Risk
44,69,14.0,2,3,Regular
45,53,7.0,2,3,Regular
46,21,365.0,1,1,At Risk
47,43,90.0,1,2,Regular
48,54,7.0,2,3,Regular
49,55,30.0,2,2,Regular
50,30,14.0,1,3,Regular
51,28,14.0,1,3,Regular
52,59,90.0,2,2,Regular
53,20,7.0,1,3,Regular
54,24,7.0,1,3,Regular
55,94,14.0,3,3,High Value
56,28,365.0,1,1,At Risk
57,73,7.0,2,3,Regular
58,64,14.0,2,3,Regular
59,54,30.0,2,2,Regular
60,79,7.0,3,3,High Value
61,37,7.0,1,3,Regular
62,68,90.0,2,2,Regular
63,21,14.0,1,3,Regular
64,79,7.0,3,3,High Value
65,83,14.0,3,3,High Value
66,36,90.0,1,2,Regular
67,94,90.0,3,2,Regular
68,33,30.0,1,2,Regular
69,46,90.0,2,2,Regular
70,70,7.0,2,3,Regular
71,29,90.0,1,2,Regular
72,48,365.0,2,1,At Risk
73,26,90.0,1,2,Regular
74,85,14.0,3,3,High Value
75,58,30.0,2,2,Regular
76,85,365.0,3,1,At Risk
77,43,30.0,1,2,Regular
78,53,14.0,2,3,Regular
79,91,14.0,3,3,High Value
80,96,90.0,3,2,Regular
81,72,90.0,2,2,Regular
82,96,90.0,3,2,Regular
83,28,90.0,1,2,Regular
